Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 12040008-Castelló - Penyeta
	
FECHA	PM2.5	PM1	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	NO	NO2	PM10	NOx	O3
	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2023	6	5	0,5	21	16,1	89	1008	90	0	2	3	6	7	48
02/01/2023	8	6	0,6	3	16,2	94	1007	59	0	3	6	10	10	46
03/01/2023	6	5	0,8	325	17	86	1013	91	0	3	5	7	9	47
04/01/2023	6	5	0,6	358	15,6	88	1015	109	0	3	7	7	12	44
05/01/2023	7	7	0,5	355	15,1	83	1011	114	0	3	7	8	11	46
06/01/2023	10	9	0,6	20	14,8	91	1007	112	0,2	2	5	10	9	47
07/01/2023	11	11	0,6	16	14,2	92	1004	111	0,4	2	6	12	10	47
08/01/2023	2	2	1,1	268	19,7	73	997	58	0	2	4	2	7	49
09/01/2023	1	1	1	311	18,9	58	1004	115	0	2	4	2	7	55
10/01/2023	2	1	0,9	16	15,7	65	1010	119	0	3	6	3	10	55
11/01/2023	4	3	0,8	358	17,2	65	1008	107	0	5	11	5	18	46
12/01/2023	3	2	0,9	313	15,6	59	1010	117	0	3	7	4	12	53
13/01/2023	4	3	0,5	337	15,7	65	1008	91	0	3	10	6	14	45
14/01/2023	4	4	0,5	349	15,8	63	1007	123	0	4	10	5	15	48
15/01/2023	3	3	1	336	15,6	64	1001	98	0	3	6	4	11	51
16/01/2023	1	1	2	261	16,2	53	991	67	0	3	4	3	8	59
17/01/2023	1	1	1,9	246	17,5	50	981	119	0	3	3	2	7	65
18/01/2023	1	1	1,6	309	13	38	987	131	0	3	3	2	7	64
19/01/2023	1	1	1,8	247	13,4	47	996	129	0,2	3	5	2	9	57
20/01/2023	1	1	1,3	343	15,8	45	998	134	0	3	5	2	9	59
21/01/2023	1	1	1,6	359	11,6	39	1000	135	0,2	2	3	1	7	60
22/01/2023	1	1	1,6	281	10,8	37	1002	138	0	3	3	2	7	61
23/01/2023	1	1	2	344	10,6	46	1002	120	0	3	3	2	6	58
24/01/2023	3	2	2,6	354	9,9	55	1005	105	0	3	3	3	7	53
25/01/2023	2	2	2,7	342	12,4	51	1005	81	0	3	3	2	7	56
26/01/2023	2	2	1,1	269	11,9	58	997	134	0	3	8	3	12	52
27/01/2023	1	1	1,2	340	11,5	50	995	139	0	3	6	2	11	58
28/01/2023	1	1	1,8	358	11,1	54	1000	138	0	3	3	1	7	61
29/01/2023	2	2	2,1	352	10,2	57	1005	45	0,1	3	3	2	6	55
30/01/2023	3	3	1,9	329	11	60	1009	147	0	3	7	4	11	55
31/01/2023	4	3	1	12	12,7	69	1009	143	0	3	6	4	11	58
01/02/2023	3	2	1,3	345	13,5	70	1010	143	0,1	3	6	4	10	60
02/02/2023	3	3	1	322	14,1	67	1011	131	0	4	8	4	13	56
03/02/2023	4	3	0,7	313	14,8	58	1013	156	0	3	7	5	12	59
04/02/2023	3	2	0,6	16	16,1	43	1011	161	0,2	3	9	4	14	58
05/02/2023	3	3	0,9	356	15,2	60	1013	159	0,3	3	6	4	10	58
06/02/2023	2	2	1,6	3	11,4	81	1007	19	9,5	3	6	3	10	55
07/02/2023	2	2	1,9	22	12,9	66	1004	71	0	3	5	3	9	57
08/02/2023	2	1	2,8	5	12,2	92	1007	30	24,4	3	4	2	8	60
09/02/2023	3	2	2,2	21	12,1	81	1014	113	2,8	3	5	3	9	62
10/02/2023	3	3	1,3	339	12,1	72	1018	166	0	3	6	4	10	61
11/02/2023	3	3	1,2	9	12,2	71	1016	121	0	3	4	3	9	68
12/02/2023	3	3	1,3	338	13	71	1016	169	0	3	4	4	8	68
13/02/2023	6	6	0,9	298	13,2	76	1017	169	0	3	6	7	10	67
14/02/2023	4	4	0,9	11	13,8	80	1015	85	0	3	5	4	8	68
15/02/2023	4	4	1	351	14	85	1012	126	0	3	7	4	11	65
16/02/2023	9	9	0,5	24	13,7	89	1013	97	0	3	10	10	15	54
17/02/2023	7	6	0,7	31	14,4	69	1015	184	0	4	12	8	17	54
18/02/2023	4	4	0,7	296	15	54	1013	173	0	3	9	5	14	64
19/02/2023	12	11	0,6	26	15,1	68	1010	171	0	3	13	13	18	57
20/02/2023	12	11	0,5	27	15,8	66	1008	168	0	4	13	14	19	57
21/02/2023	11	11	0,6	358	15,1	78	1003	92	0	3	17	13	23	50
22/02/2023	13	12	0,7	35	15,5	83	1000	160	0	3	13	16	18	50
23/02/2023	14	12	0,5	26	15,2	94	993	53	0	2	8	17	12	61
24/02/2023	2	1	1,1	356	12,7	59	991	168	0	3	6	2	11	57
25/02/2023	2	1	1	359	13,5	57	987	183	0	3	5	2	9	60
26/02/2023	1	1	1,5	310	12,9	51	986	124	0	2	3	2	7	64
27/02/2023	2	1	2,7	327	8,5	38	992	164	0	3	2	3	6	64
28/02/2023	2	1	2,1	340	12,2	42	998	194	0	2	2	2	6	63
01/03/2023	2	2	1,5	357	9,8	52	997	207	0	3	5	3	9	64
02/03/2023	5	5	1,7	349	11,5	51	998	197	0	3	6	6	10	66
03/03/2023	4	3	1,4	322	13	55	1001	209	0	3	9	5	14	65
04/03/2023	4	4	1,5	312	13,1	63	1003	210	0	3	7	5	12	68
05/03/2023	7	6	0,8	32	14	68	998	200	0	4	12	8	17	65
06/03/2023	2	1	1	321	17,1	56	994	137	0	3	8	2	13	64
07/03/2023	1	1	1,3	251	20	54	992	212	0	3	8	2	13	62
08/03/2023	2	1	1,4	246	22,4	52	995	168	0	4	11	4	17	51
09/03/2023	2	1	1,3	248	21,8	55	997	113	0	4	11	5	18	50
10/03/2023	1	1	1,3	280	22,8	46	1000	231	0	3	5	3	10	63
11/03/2023	2	1	1,1	315	25,1	45	1001	221	0	3	6	3	10	56
12/03/2023	1	1	1,1	12	23,7	56	1004	239	0	3	6	2	11	47
13/03/2023	3	3	1	62	21,3	66	998	207	0	4	10	8	16	51
14/03/2023	1	1	1,3	312	19,9	41	1002	247	0	3	6	3	10	69
15/03/2023	2	1	1	21	17,3	56	1003	222	0	3	8	3	13	65
16/03/2023	4	3	1	48	16,5	84	1000	244	0	3	8	5	13	67
17/03/2023	3	2	1,3	24	16,3	87	999	172	0	2	5	3	9	66
18/03/2023	8	7	1	42	16,8	89	998	197	0	2	9	9	13	57
19/03/2023	1	1	1,3	56	17,7	67	1004	251	0	2	4	1	8	61
20/03/2023	3	2	0,8	43	17,5	71	1004	247	0	3	8	4	14	57
21/03/2023	6	5	1,1	68	16,9	88	1002	223	0	2	6	7	10	65
22/03/2023	9	8	0,9	51	17,1	88	1000	246	0	3	9	10	13	67
23/03/2023	12	11	0,9	55	17,8	89	999	256	0	3	10	13	14	68
24/03/2023	12	11	0,7	40	19	82	1000	109	0	3	15	17	20	58
25/03/2023	4	4	1,3	63	19,4	76	1005	262	0	2	6	5	9	67
26/03/2023	11	10	1,3	36	22	57	1000	270	0	2	6	13	10	59
27/03/2023	2	2	1,4	293	18,3	45	1006	277	0	2	5	5	9	71
28/03/2023	3	2	1,1	226	17,4	72	1009	263	0	3	7	4	11	66
29/03/2023	4	3	1	281	17,8	80	1008	279	0	3	8	5	12	65
30/03/2023	6	5	1	48	18,5	86	1004	212	0	3	9	8	14	64
31/03/2023	4	3	1,1	286	24,2	51	1001	121	0	3	9	8	13	60
01/04/2023	4	3	2,3	315	19,5	55	1002	219	0	2	5	9	9	69
02/04/2023	1	1	2,7	307	19,4	40	1002	289	0	2	2	1	5	70
03/04/2023	1	1	2,2	343	17,1	54	1000	297	0	2	5	1	9	68
04/04/2023	1	1	1,2	54	16,5	62	998	299	0	3	6	2	9	67
05/04/2023	3	2	1,5	256	16,9	76	1002	299	0	3	8	3	13	68
06/04/2023	2	2	1,3	44	17	80	1003	292	0	3	6	3	11	69
07/04/2023	2	2	1,1	259	17,5	70	1001	304	0	3	5	3	10	73
08/04/2023	2	2	1,8	89	18,2	82	1001	298	0	3	5	4	9	75
09/04/2023	5	5	0,9	87	17,9	90	1004	187	0	3	8	6	12	70
10/04/2023	7	6	1	75	18,4	91	1006	244	0	3	6	8	10	69
11/04/2023	8	8	0,8	90	18,9	88	1005	271	0	3	9	9	14	66
12/04/2023	7	6	1,3	50	20,4	75	995	289	0	3	10	9	15	63
13/04/2023	1	1	1,8	122	17,8	54	1000	335	0	3	6	2	11	73
14/04/2023	1	1	1,3	349	19,8	54	998	236	0	3	8	3	12	68
15/04/2023	2	1	1,8	359	21,8	47	1001	218	0	3	5	2	9	73
16/04/2023	1	1	1,9	324	18,7	43	1003	336	0	3	4	1	8	80
17/04/2023	2	1	1,5	61	18,1	66	1000	326	0	3	6	3	11	77
18/04/2023	3	2	1,3	66	18,3	81	999	272	0	3	6	3	10	76
19/04/2023	2	2	1,2	60	18,3	71	999	323	0	3	7	3	12	76
20/04/2023	3	2	1,2	77	19,3	69	993	321	0	3	8	5	13	80
21/04/2023	3	3	1,7	63	20,1	80	993	317	0	3	7	5	11	81
22/04/2023	5	4	1,4	47	19,3	91	996	189	0	3	5	6	9	76
23/04/2023	8	7	0,9	57	19,9	84	998	307	0	3	8	8	13	62
24/04/2023	3	2	1,4	78	21,4	69	1001	323	0	4	12	4	18	60
25/04/2023	2	1	1,2	56	23,1	61	999	321	0	4	9	4	14	68
26/04/2023	5	4	1,4	79	20,8	86	1001	331	0	3	6	5	11	67
27/04/2023	6	5	1	75	20,7	89	1002	268	0	3	9	6	14	60
28/04/2023	2	2	1	73	21,6	88	1002	279	0	3	5	3	9	66
29/04/2023	5	4	1,4	81	22	89	999	200	0	3	10	5	15	60
30/04/2023	2	2	1,3	80	22,8	73	1001	278	0	3	6	3	11	62
01/05/2023	2	2	1,2	127	22,2	82	1002	352	0	3	5	3	9	67
02/05/2023	2	1	1,3	64	21,2	64	1003	335	0	4	9	3	14	66
03/05/2023	2	2	1,3	235	21,5	72	1003	305	0	3	7	3	11	70
