Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 12040009-Castelló - Ermita
	
FECHA	Veloc.	Direc.	Temp.	H.Rel.	R.Sol.	Precip.	SO2	NO	NO2	NOx	O3
	m/s	grados	°C	% H.R.	W/m²	l/m²	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2023	2,5	306	11,7	86	22	0	3	3	6	10	22
02/01/2023	2,1	283	12,7	89	14	0	3	7	10	21	13
03/01/2023	2	263	13,9	85	24	0	3	11	11	27	15
04/01/2023	3,5	254	12,3	83	34	0	3	8	10	21	16
05/01/2023	3,1	259	11,4	80	35	0	3	7	12	22	19
06/01/2023	2,9	270	10,8	86	35	0	3	3	8	13	23
07/01/2023	2,4	285	10,3	89	35	0	3	4	8	13	20
08/01/2023	4,2	216	18,2	68	21	0	3	2	5	7	41
09/01/2023	3,7	237	17,2	58	41	0	3	4	11	17	36
10/01/2023	2,1	307	12,2	68	43	0	4	10	14	29	28
11/01/2023	2,2	259	13,3	67	39	0	5	9	15	30	17
12/01/2023	4	273	11,7	66	40	0	4	6	15	23	25
13/01/2023	3,1	273	11	68	28	0	5	11	18	35	13
14/01/2023	2,9	256	11,7	67	50	0	8	5	14	21	22
15/01/2023	2,7	307	11,6	68	47	0	9	3	9	14	28
16/01/2023	7,1	218	14,8	48	21	0	6	3	7	11	52
17/01/2023	10,8	246	17,2	42	60	0	4	2	5	8	66
18/01/2023	7,2	286	12,2	30	68	0	4	2	6	10	64
19/01/2023	7,5	237	12,3	40	62	0	3	3	7	11	55
20/01/2023	3,5	286	14,3	45	65	0	3	4	9	14	50
21/01/2023	8,3	312	9	44	76	0	4	3	8	12	48
22/01/2023	5,3	279	9,2	32	74	0	3	2	5	7	61
23/01/2023	2,8	305	8,3	44	63	0	4	3	8	12	47
24/01/2023	3,6	329	7,7	53	75	0	4	3	8	13	38
25/01/2023	5,4	335	10,7	47	48	0	3	4	8	14	49
26/01/2023	2,5	249	8,9	61	70	0,2	3	8	17	28	24
27/01/2023	3,7	275	8,1	55	76	0	6	5	14	22	32
28/01/2023	4,3	279	8,1	55	80	0	5	3	11	15	39
29/01/2023	1,8	302	7,4	61	19	0	3	2	8	11	36
30/01/2023	4,1	257	7,4	65	83	0	4	7	16	27	23
31/01/2023	3,1	260	8,7	68	84	0	10	12	20	38	23
01/02/2023	3,9	245	9,5	71	85	0	6	7	17	27	24
02/02/2023	4,2	264	9,9	74	69	0	7	5	16	24	24
03/02/2023	4,3	246	10,2	66	94	0	8	7	20	30	24
04/02/2023	3,2	261	12	46	96	0	14	4	17	23	31
05/02/2023	3,4	254	11	59	94	0	15	3	15	19	32
06/02/2023	4,3	330	7,9	85	0	1,6	4	5	11	18	31
07/02/2023	4,4	0	11,3	63	42	0,8	3	2	5	7	54
08/02/2023	7,3	12	10,6	88	1	9,4	3	2	4	7	54
09/02/2023	3,2	10	10,2	78	66	10,4	3	2	6	8	53
