Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 12040010-Castelló - Grau
	
FECHA	PM2.5	Veloc.	Direc.	Temp.	H.Rel.	R.Sol.	Precip.	SO2	NO	NO2	PM10	NOx	O3
	µg/m³	m/s	grados	°C	% H.R.	W/m²	l/m²	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
01/01/2023	15	0,5	349	10,6	92	85	0	4	4	3	15	9	13
02/01/2023	16	0,2	216	11,8	91	58	0	5	11	5	17	22	9
03/01/2023	14	0,4	249	13,1	87	85	0	5	10	5	16	20	11
04/01/2023	8	0,3	178	11,2	86	108	0	5	8	4	10	16	12
05/01/2023	12	0,4	186	10,5	85	107	0,2	5			14		12
06/01/2023	14	0,3	316	9,7	89	107	0	4			15		15
07/01/2023	16	0,4	146	9,4	89	104	0,2	5			16		16
08/01/2023	4	4,4	221	17,8	69	69	0	5			5		35
09/01/2023	3	1,4	223	16,2	64	119	0	6			5		30
10/01/2023	5	0,5	325	11,6	73	124	0	8			6		26
11/01/2023	7	0,5	242	12,6	70	114	0	10			10		18
12/01/2023	6	1,1	228	11,9	65	131	0,4	18			9		23
13/01/2023	9	0,5	222	10,1	77	87	0	12	12	10	13	28	9
14/01/2023	9	0,5	203	10,2	76	128	0	13	4	5	11	11	15
15/01/2023	8	0,9	241	10,8	73	102	0	10	5	2	9	9	24
16/01/2023	2	5,3	220	14,3	50	66	0	13	2	3	5	6	48
17/01/2023	1	6,7	247	17	42	134	0		2	2	3	5	65
18/01/2023	1	3,4	286	11,8	31	125	0		2	4	2	7	61
19/01/2023	1	4,9	232	12	40	141	0		2	3	2	5	54
20/01/2023	2	1,7	346	14,3	42	141	0		2	3	2	6	55
21/01/2023	2	4,2	313	8,8	44	151	0		2	2	2	5	47
22/01/2023	2	3,4	286	9,3	31	148	0		2	2	2	5	60
23/01/2023	2	1,9	351	8,9	41	128	0		2	3	3	6	56
24/01/2023	3	1,9	346	8,4	49	158	0		2	2	4	5	50
25/01/2023	4	3,4	333	10,9	46	100	0		2	4	6	7	50
26/01/2023	5	1	190	8,8	60	151	0,6		5	15	7	22	29
27/01/2023	5	0,9	181	7,5	58	152	0,2	16	6	14	7	22	30
28/01/2023	4	0,9	293	8,1	55	157	0	17	2	4	5	6	41
29/01/2023	4	0,9	351	8	56	62	0	5	2	1	5	4	44
30/01/2023	9	0,8	220	6,6	68	158	0	7	4	12	11	17	23
31/01/2023	8	0,4	332	7,5	77	150	0,4	7	9	13	10	27	23
01/02/2023	8	0,5	178	8,3	76	148	0	7	7	17	10	28	22
02/02/2023	8	0,7	183	8,8	77	153	0	7	4	10	11	16	22
03/02/2023	10	0,9	193	9	70	155	0	12	6	19	13	28	21
04/02/2023	11	0,3	207	9,4	66	162	0	12	4	14	15	21	18
05/02/2023	10	0,7	192	9	74	166	0	11	3	8	12	13	20
06/02/2023	5	1,2	346	7,4	86	18		4			5		33
07/02/2023	3	1,8	3	11,2	64	76		4			4		57
08/02/2023	2	2,4	10	10,6	88	37		3			3		60
09/02/2023							0,4						
10/02/2023	6			7,7	84	158	1	5	6	5	8	15	27
11/02/2023	8	0,5	269	8,2	82	155	0	5	2	3	9	5	34
12/02/2023	8	0,8	206	8,7	82	146	0	5	1	4	8	6	35
13/02/2023	10	1	208	8,9	84	164	0	7	5	6	12	13	32
14/02/2023	9	0,3	18	11,2	83	81	0	4	1	3	9	6	43
15/02/2023	8	0,5	291	10,6	89	143	0	5	5	5	10	13	31
16/02/2023	11	0,3	162	10	92	105	0	6	6	5	13	14	24
17/02/2023	12	0,4	179	9,4	84	174	0	13	7	10	15	22	20
18/02/2023	10	0,7	198	10	77	171	0	12	2	7	12	10	26
19/02/2023	14	0,3	161	10,8	86	172	0	8	1	6	15	8	29
20/02/2023	18	0,3	350	11	87	162	0	10	6	9	22	18	20
21/02/2023	15	0,3	308	11,2	85	95	0,2	11	3	10	18	16	15
22/02/2023	14		36	11,7	92	158	0	7	4	4	16	9	30
23/02/2023	14		341	12,9	93	63	0,4	6	2	3	16	5	35
24/02/2023	3	1,6	250	10,1	60	167	0,4	12	1	5	5	6	37
25/02/2023	5		213	10,5	66	195	0	24	2	6	7	8	28
26/02/2023	3	4,4	228	10,3	52	142	0	17	1	2	3	3	49
27/02/2023		8,9	328	7,5	31	186	0,4	6	1	1		2	66
28/02/2023		5,5	316	10,8	37	212	0	6	1	1		2	65
01/03/2023		1,5	25	8,2	50	249	0,4	7	1	2		3	59
02/03/2023	7	2	341	9,9	48	228	0,2	4	1	2	8	3	62
03/03/2023	8	1,5	208	9,8	58	242	0	6	1	5	10	7	46
04/03/2023	10	1,1	203	9,2	70	245	0	12	1	6	11	8	38
05/03/2023	11	0,8	185	10,1	77	207	0	9	1	5	13	7	38
06/03/2023	5	1,1	248	14,5	60	137	0	11	1	9	9	10	38
07/03/2023	3	2,6	248	16,8	55	218	0,2	20	1	7	6	9	39
08/03/2023	2	2,9	267	21,3	46	185	0	12	1	1	4	3	44
09/03/2023	3	2,6	263	20,6	50	102	0,4	13	1	3	7	5	41
10/03/2023	2	3,2	288	22,4	37	222	0	12	1	2	5	3	58
11/03/2023	3	2	263	23,2	42	215	0	13	1	1	6	3	49
12/03/2023	2	1,1	213	20,4	60	228	0	8	1	1	4	3	27
13/03/2023	5	1,5	103	18,3	70	186	0	7	1	1	7	2	38
14/03/2023	2	1,7	272	18	40	230	0,4	8	2	4	7	7	61
15/03/2023	4	1	144	14,2	65	231	0	9	5	8	6	16	44
16/03/2023	5	0,9	33	13,1	84	229	0	5	5	10	6	17	46
17/03/2023	5	0,9	25	13,6	85	172	0,6	5			6		44
18/03/2023	9	0,8	34	14	88	162	0	5			10		41
19/03/2023	4	1,1	61	15,3	71	225	0	6			5		48
20/03/2023	7	0,9	190	13,9	77	220	0	11			9		30
21/03/2023	7	0,9	35	13,8	85	192	1,2				9		54
22/03/2023	10		45	14,2	85	212	0,4		5	20	11	28	56
23/03/2023	14		50	15,2	85	204	0,4		6	16	15	26	65
24/03/2023	13		123	14,7	87	99	0		12	26	15	45	44
25/03/2023	8		43	15,6	83	229	0		5	15	9	22	56
26/03/2023	11	1,6	37	18,5	63	224	0		6	14	13	23	56
27/03/2023	3	1,8	276	16,6	46	266	0,4		4	12	5	18	76
28/03/2023	5	1,1	210	13,8	77	248	0		15	24	8	47	51
29/03/2023	7	1	239	14,8		229	0		16	17	9	42	51
30/03/2023	6	0,8	32	15,4	83	181	0,4		7	13	8	23	62
31/03/2023	6	1,2	297	22,2	46	118	0,2	7	6	19	10	28	63
01/04/2023	6	3,6	229	18	57	209	0	6	4	10	13	16	78
02/04/2023	0	3,6	355	18,4	33	271	0	6	4	2	1	6	86
03/04/2023	1	2,5	244	15,6	52	282	0	6	4	11	3	17	78
04/04/2023	3	0,5	124	13,4	71	286	0	9	13	22	5	42	54
05/04/2023	4	0,9	215	14,3	76	263	0	7	10	18	5	34	61
06/04/2023	4	0,8	330	13,6	80	215	0,2	6	6	15	5	24	55
07/04/2023	6	1	187	13,9	76	271	0	9	8	20	8	32	57
08/04/2023	4	2,3	53	15,1	81	269	0	6	5	9	6	16	74
09/04/2023	5	0,8	119	16,2	83	241	0	5	4	7	7	12	71
10/04/2023	8	0,5	47	16,3	85	217	0	6	3	6	9	11	69
11/04/2023	8	0,8	110	16,7	84	250	0	6	4	11	10	17	64
12/04/2023	8	1,5	53	17,2	77	248	0	8	4	11	10	17	67
13/04/2023	2	2	52	16,6	50	287	0,2	9	4	9	3	16	76
14/04/2023	4	0,7	45	17,1	64	215	0,4	12	8	18	7	31	55
15/04/2023	3	1	234	19,5	48	186	0	10	3	11	5	15	73
16/04/2023	2	2,5	229	17,4	46	314	0	9	2	8	3	12	80
17/04/2023	3	0,8	65	15,2	72	310	0	10	3	16	5	21	62
18/04/2023	4	0,7	67	16,4	79	293	4,2	7	4	11	6	18	66
19/04/2023	5	0,4	113	16	75	300	0	9	10	21	6	35	60
20/04/2023	4	0,7	94	17	74	321	0,4	6	3	15	6	19	76
21/04/2023	6	0,8	61	18	81	299	0	4	8	14	8	26	75
22/04/2023	8	0,6	51	18	87	226	7,9	3	2	7	9	9	80
23/04/2023	12	0,5	51	17,7	87	268	0,2	4	3	17	13	22	54
24/04/2023	6	1	168	19,1	73	277	0	5	5	19	8	25	56
25/04/2023	6	0,6	80	20,2	66	286	0	11	8	26	9	37	53
26/04/2023	7	1,1	49	19,5	82	294	0	4	2	6	7	8	73
27/04/2023	7	0,4	51	18,8	85	248	0	5	3	10	8	13	50
28/04/2023	4	0,5	41	19,6	84	241	0,2	4	2	6	5	10	59
29/04/2023	8	1,1	44	20,3	85	179	5,3	3	2	8	8	10	60
30/04/2023	9	0,9	170	20,6	77	241	0,2	5	4	16	10	22	50
01/05/2023	4	1,3	123	19,9	82	302	0	5	3	8	5	12	51
02/05/2023	4	0,5	130	18,6	75	279	0	7	8	15	6	27	49
03/05/2023	4	1,7	205	19,3	74	292	0,2	7	6	16	7	24	63
04/05/2023	4	0,6	66	19,5	80	286	0	5	6	11	6	20	69
05/05/2023	7	0,7	45	19,6	83	297	0	5	2	6	8	10	71
06/05/2023	6	0,4	46	19,5	80	279	0,4	6	3	9	7	13	59
07/05/2023	4	1	40	20,3	81	156	0	6	2	6	5	9	71
08/05/2023	8	1,1	204	20,5	77	281	0	8	7	13	9	24	62
09/05/2023	6	0,9	82	21,5	69	263	0	10	8	19	8	31	65
10/05/2023	2	2,8	357	21,2	54	325	0	9	3	6	5	10	77
11/05/2023	2	1,5	16	19,7	53	253	0,2	10	3	7	4	11	85
12/05/2023	1	1,3	318	18,4	52	290	0	11	4	10	3	16	75
13/05/2023	2	1,2	332	17,5	62	277	0,8	9	3	7	3	12	73
14/05/2023	2	2,1	239	18,5	63	305	1,8	11	4	14	3	20	66
15/05/2023	4	3	266	20,3	47	269	0	10	4	8	6	14	98
16/05/2023	2	5,1	319	20,9	41	301	0	10	3	4	4	9	93
17/05/2023		1,5	216	18,7	53	335	0	12	5	13		20	77
18/05/2023		1,6	151	18,7	65	253	0	12	5	13		20	70
19/05/2023	3	0,8	69	18,4	62	233	1,5	7	3	7	4	13	83
20/05/2023	3	1,2	140	18,8	59	304	0,2	6	3	13	3	18	77
21/05/2023	3	0,7	69	19,2	71	312	0	3	3	6	3	10	88
22/05/2023	3	1	37	19,8	73	108	0	3	2	4	3	7	84
23/05/2023	5	1,6	47	21	70	203	0	3	2	4	6	7	103
24/05/2023	9	0,6	49	20,8	79	229	3,8	3	3	11	10	16	78
25/05/2023	6	0,8	42	19,9	79	116	77,2	3	4	16	8	23	64
26/05/2023	5	0,7	24	18,3	95	72	107,2	3	2	5	6	9	68
27/05/2023	10	0,3	31	20,1	79	198	0,4	3	5	12	13	20	43
28/05/2023	8	0,4	274	19,7	84	98	5,8	3	3	15	10	19	53
29/05/2023	7	0,7	61	20,9	85	265	0,6	3	4	9	9	14	60
30/05/2023		0,5	70	20,8	82	258	0	3	3	8		12	62
31/05/2023		0,6	84	21,5	78	316	0	5	8	20		32	67
01/06/2023		1	39	20,9	85	273	0	4	3	7		12	68
02/06/2023		0,6	69	21	83	348	0,4	4	6	10		19	61
03/06/2023		0,6	65	21,4	83	307	0	5	3	8		13	58
04/06/2023		0,4	13	21,4	84	206	2	5	3	7		11	55
05/06/2023		1	171	21,9	81	311	0	6	5	10		18	60
06/06/2023		0,8	170	22,2	81	334	0	6	5	10		17	57
07/06/2023		0,3	173	21,9	82	103	0,8	7	7	16		27	39
08/06/2023		0,5	44	22,5	80	251	0,8		5	10		17	50
09/06/2023	4	3	229	24,3	75	357	0		5	15	6	22	51
10/06/2023	4	0,5	72	24,7	78	283	0		3	9	5	13	55
11/06/2023	4	0,7	47	24	83	263	1,9		3	7	5	12	54
12/06/2023	3	0,6	83	23,6	78	287	0,4		5	11	3	18	55
13/06/2023	2	1,4	243	23,1	73	239	11		4	16	3	22	67
14/06/2023	2	1,5	205	23,8	70	352	0		7	21	4	31	58
15/06/2023	4	0,5	155	24,8	72	355	0,2		5	17	5	26	61
16/06/2023	4	0,5	74	25,3	73	352	0	4	4	13	5	18	67
17/06/2023	3	0,6	80	25,4	70	358	0	4	3	9	4	14	80
18/06/2023	4	0,4	15	23,8	71	124	0,8	6	4	16	5	22	66
19/06/2023	4	1,5	36	24,3	69	278	0	7	4	14	5	20	76
20/06/2023	5	0,5	63	25,4	75	315	0	5	3	13	6	18	72
21/06/2023	5	1,4	47	25,8	78	279	1,1	5	3	6	5	10	70
22/06/2023	3	0,5	69	26	73	346	1,2		5	21	4	28	61
23/06/2023	4	1,5	199	26,5	71	353	0		5	25	5	33	63
24/06/2023	3	0,7	160	26,4	71	361	0		6	28	4	36	56
25/06/2023	4	0,6	54	26,8	76	341	0		5	16	5	23	62
26/06/2023	5	0,8	51	27,4	77	310	0,2		5	9	5	16	67
27/06/2023	6	1	35	26,5	78	331	0		6	9	6	17	56
28/06/2023	8	0,7	36	26,6	81	272	0		5	7	9	15	53
29/06/2023	9	0,6	46	26,6	80	314	3,2		5	7	9	15	49
30/06/2023	3	1,3	42	26,4	56	307	0,2	4	5	7	4	14	61
01/07/2023	4	1,1	201	24,9	70	300	0	4	6	13	4	22	48
02/07/2023	5	0,9	162	26,6	73	306	0	3	6	13	5	23	45
03/07/2023	5	1	41	25,7	82	174	2,1	3	6	12	6	22	37
04/07/2023	5	0,6	67	26,5	80	215	0,2	3	5	11	6	19	39
05/07/2023	4	1,1	36	26,6	77	268	0	3	2	8	5	11	45
06/07/2023	5	0,9	52	27,3	78	272	0,2	3	2	6	6	10	43
07/07/2023	6	1,2	45	26,5	79	188	0	3	3	10	6	14	47
08/07/2023	7	0,5	63	26,6	78	317	0	4	3	12	9	17	45
09/07/2023	10	0,5	57	27,2	80	277	0	4	3	9	11	13	42
10/07/2023	15	0,9	50	27,6	82	281	0	4	4	9	16	15	37
11/07/2023	23	0,8	74	28,3	83	257	14,4	3	3	10	24	14	
12/07/2023	19	1,3	52	28,5	83	253	0,4	4	4	11	20	16	
13/07/2023	9	0,6	57	28,3	78	342	0	5	3	9	9	13	
14/07/2023	7	1,6	180	28,2	78	363	0	6	6	14	8	22	
15/07/2023	15	0,5	68	29,1	79	330	0	6	3	7	16	11	
16/07/2023	10	1,3	52	28,6	75	243	0		3	5	11	10	
17/07/2023	15	0,7	51	28,5	82	303	0		3	7	15	11	
18/07/2023	20	0,8	103	28,9	80	307	0,2		3	10	20	15	
19/07/2023	20	0,7	58	29,6	81	289	0,4		3	9	20	13	
20/07/2023							2,1						
21/07/2023							0,2						
22/07/2023	3	1,3	51	29	70	313	0	4			4		67
23/07/2023	5	0,9	102	29	82	241	0	3			6		41
24/07/2023	6	0,8	49	29,2	81	219	0	3			7		45
25/07/2023	2	0,6	51	27,8	53	334	0	4			4		53
26/07/2023	2	0,8	127	26,6	60	331	0	3			4		40
27/07/2023	3	1,8	194	28,2	74	253	0	3			3		51
28/07/2023	3	0,5	43	28,5	79	335	0	4			4		52
29/07/2023	3	0,6	56	28,2	81	275	0	4			4		41
30/07/2023	3	0,9	40	28,8	79	285	0	4			3		52
31/07/2023	5	0,8	171	29,5	78	264	0	3			5		43
01/08/2023	5	0,5	67	29,7	78	334	0	3			6		51
02/08/2023	6	0,9	68	29,4	81	313	0	3			6		70
03/08/2023	2	1,6	48	28,6	62	237	0	4			5		56
04/08/2023	1	3,7	330	27,1	39	356	0	4			4		61
05/08/2023	1	1,5	212	25,2	52	354	0	4			3		61
06/08/2023	1	0,7	95	26,5	57	344	0	5			2		42
07/08/2023	2	1,6	88	26,3	67	264	0	4			2		63
08/08/2023	1	1,6	203	27,3	75	87	0	4			2		63
09/08/2023	2	1,2	212	27,2	78	278	0,2	3			2		58
10/08/2023	3	1,7	75	29,3	76	296	0,2	4			4		69
11/08/2023	3	0,4	76	28,7	76	301	0		2	7	3	10	65
12/08/2023	3	0,5	65	27,8	79	292	0		3	8	4	12	65
13/08/2023	3	0,7	113	28,1	76	304	0	5	2	6	3	9	72
14/08/2023	2	0,5	38	28	78	281	0	5	2	5	2	8	57
15/08/2023	3	0,7	31	28,3	77	280	0		2	5	3	8	77
16/08/2023	3	0,6	32	28,5	75	251	0,6		1	5	4	7	73
17/08/2023	7	0,8	40	28,3	78	272	0,2	5	2	5	8	8	67
18/08/2023	8	0,4	38	28,7	80	247	0	5	3	9	13	13	53
19/08/2023	9	0,4	49	28,8	80	259	0	5	2	5	14	8	54
20/08/2023	9	0,4	90	29	79	273	0	5	2	7	14	10	48
21/08/2023	8	0,5	171	29,1	76	287	0	5	2	11	13	14	54
22/08/2023	7	0,4	66	29	72	297	0	6	3	13	11	17	57
23/08/2023	5	0,7	202	30,2	59	297	0	7	5	20	12	27	54
24/08/2023	4	0,7	193	29,9	60	299	0	6	3	14	8	18	67
25/08/2023	7	0,5	41	28,7	76	284	0	6	2	8	12	11	69
26/08/2023	7	1,2	13	27,5	81	207		5	1	6	11	9	58
27/08/2023	2	3,8	336	25,1	52	216			1	5	5	7	55
28/08/2023	1	2	220	25,6	46	286	0		2	9	2	12	62
29/08/2023	1	1	204	25,3	53	298	0		3	9	3	14	52
