Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 12040015-Castelló - Patronat d´Esports
	
FECHA	PM2.5	C8H10	As	Pb	C7H8	BaP	Cd	C6H6	SO2	CO	NO	NO2	PM10	Ni	NOx	O3
	µg/m³	µg/m³	ng/m³N	µg/m³	µg/m³	ng/m³N	ng/m³N	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	ng/m³N	µg/m³	µg/m³
01/01/2023		0,7			1,5	0,17		0,3	3	0,1	3	17	15		21	27
02/01/2023		1,2	0,28	0,01	2,1		0,08	0,4	3	0,1	9	26	21	1,81	39	20
03/01/2023		1,6			2,5			0,4	3	0,1	9	26	17		40	20
04/01/2023		1,5	0,28	0,01	6,8		0,08	0,4	3	0,1	11	26	16	1,12	43	18
05/01/2023		1,2			5,4	0,18		0,4	3	0,1	8	28	12		41	20
06/01/2023		0,9			1,9			0,4	3	0,1	4	23	12		28	23
07/01/2023		0,9			2			0,5	3	0,1	6	25	16		34	23
08/01/2023		0,3	0,05	0,01	0,6		0,04	0,2	3	0,1	1	10	8	0,59	12	33
09/01/2023		0,8			1,3	0,07		0,2	3	0,1	5	21	9		29	32
10/01/2023		0,8	0,11	0,01	1,5		0,08	0,3	3	0,1	7	25	8	1,71	35	33
11/01/2023		1,3	0,47	0,01	4,3		0,11	0,3	7	0,1	11	29	14	0,75	46	21
12/01/2023		0,7	0,89	0,01	1,6		0,18	0,2	11	0,1	7	37	15	0,89	47	24
13/01/2023		1,9			6,7	0,23		0,5	4	0,1	17	39	22		65	15
14/01/2023		0,9	0,61	0,01	1,9		0,25	0,4	4	0,1	8	30	16	0,89	42	21
15/01/2023		0,9			2,1			0,4	5	0,1	5	22	13		30	27
16/01/2023		0,1	0,19	0,01	0,3		0,07	0,1	4	0,1	1	10	12	0,47	12	45
17/01/2023		0,1			0,2			0,1	3	0,1	1	4	11		6	56
18/01/2023		0,1	0,06	0,01	0,5		0,03	0,1	3	0,1	2	7	2	0,47	10	53
19/01/2023		0,2			0,3			0,1	4	0,1	2	8	5		10	53
