Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 12040020-Castelló CEIP La Marina
	
FECHA	PM2.5	PM1	C8H10	NH3	H2S	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	C7H8	C6H6	SO2	NO	NO2	PM10	NOx	O3	Veloc.máx.
	µg/m³	µg/m³	µg/m³	µg/m³N	µg/m³N	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s
01/01/2023	8	7		7	3	0,8	343	10,7	97	1023	84	0			3	6	20	10	29	16	3,4
02/01/2023	7	5		6	0	0,5	287	11,7	96	1021	61	0,2			3	17	27	11	53	11	2,2
03/01/2023	6	5		7	3	0,6	272	13,1	91	1024	85	0			3	20	26	10	57	14	2,6
04/01/2023	4	3		5	2	0,9	245	11,3	90	1030	105	0			2	14	22	6	44	16	3,1
05/01/2023	6	5		5	0	0,9	256	10,6	90	1024	108	0			3	10	24	8	39	16	3,3
06/01/2023	6	5		6	1	0,7	334	10	94	1020	103	0,2			4	8	20	7	32	18	2,7
07/01/2023	7	7		6	1	0,9	290	9,5	94	1016	107	0,2			3	7	20	8	30	19	3,5
08/01/2023	2	2		7	2	4	212	17,7	74	1007	66	0			6	1	14	3	15	35	13,6
09/01/2023	2	2		6	1	1,7	245	16	68	1015	110	0			3	4	23	5	30	34	6,3
10/01/2023	6	4		4	1	1	342	11,6	75	1023	113	0			2	15	28	10	50	26	3,9
11/01/2023	4	3		5	1	0,8	266	12,3	74	1023	107	0			4	19	28	9	57	17	3,5
12/01/2023	4	2		4	1	1,5	244	11,8	68	1025	117	0			4	10	33	10	47	23	5,2
13/01/2023	6	4		5	2	0,9	259	10,2	80	1022	86	0			4	28	35	12	77	11	3,9
14/01/2023	5	4		5	1	0,9	248	10,6	79	1024	117	0			6	14	29	8	50	17	3,6
15/01/2023	4	3		5	0	1	294	10,4	78	1018	97	0			3	6	20	6	28	23	4,4
16/01/2023	2	1		7	1	4,6	209	13,9	51	1009	63	0			7	1	14	5	16	45	16,2
17/01/2023	1	1		7	0	5,1	240	16,1	44	1000	112	0			3	1	9	3	9	61	18,5
18/01/2023	1	1		1	0	2	279	11,5	32	1004	116	0			2	2	6	3	8	59	9,5
19/01/2023	1	1		2	1	4,1	235	11,5	41	1008	124	0			3	1	4	2	6	54	13,9
20/01/2023	1	1		3	0	1,5	336	14	43	1010	124	0			3	2	10	4	12	49	6,7
21/01/2023	1	1		1	1	1,4	309	8,7	44	1014	132	0			2	2	7	3	8	46	7,7
22/01/2023	1	1		1	0	1,9	274	9	32	1017	127	0			4	1	3	2	4	60	9
23/01/2023	1	1		1	0	1,2	324	8,3	42	1019	109	0			2	2	4	3	7	53	6
24/01/2023	2	2		2	0	1,4	322	7,6	51	1021	139	0			1	2	6	5	9	43	6,2
25/01/2023	2	2		2	0	1,4	322	10,5	47	1019	91	0			3	4	8	5	14	47	7,4
26/01/2023	3	2		2	1	1,3	237	8,6	62	1011	131	0			4	13	27	6	46	30	5,1
27/01/2023	3	2		1	0	1,2	241	7,4	60	1009	132	0			8	11	33	8	50	28	4,6
