Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 12040301-Castelló AP Tramuntana
	
FECHA	PM2.5	Veloc.	Direc.	PM10	Veloc.máx.
	µg/m³	m/s	grados	µg/m³	m/s
01/01/2023	21	1,2	324	23	2,6
02/01/2023	26	0,6	289	33	1,4
03/01/2023	20	0,9	269	25	1,8
04/01/2023	15	1	265	19	2,1
05/01/2023	20	0,9	253	22	2
06/01/2023	25	1,2	316	26	2,2
07/01/2023	28	1,1	297	29	2,4
08/01/2023	9	3,7	204	20	8,2
09/01/2023	5	1,4	237	14	3,6
10/01/2023	7	1,3	317	13	2,9
11/01/2023	12	1,1	266	17	2,5
12/01/2023	11	1,8	250	15	3,6
13/01/2023	16	1,3	263	23	2,6
14/01/2023	14	1,2	254	17	2,4
15/01/2023	12	1,2	283	14	2,9
16/01/2023	6	4	199	22	9,4
17/01/2023	2	3,3	236	7	10,2
18/01/2023	2	2,3	284	4	6,8
19/01/2023	2	2,4	223	6	7,1
20/01/2023	3	1,9	321	6	4,8
21/01/2023	2	2,9	313	4	7,2
22/01/2023	3	2,7	272	4	6,8
23/01/2023	4	2,1	329	5	5,2
24/01/2023	6	2,1	334	10	4,8
25/01/2023	7	2,7	324	11	6,5
26/01/2023	7	1,4	232	9	3,3
27/01/2023	7	1,6	242	10	3,4
28/01/2023	7	1,7	289	9	3,7
29/01/2023	6	0,7	323	7	2,6
30/01/2023	12	0,9	252	16	2,7
31/01/2023	15	0,8	285	22	1,7
01/02/2023	17	0,9	234	21	1,7
02/02/2023	13	1	267	18	2,6
03/02/2023	16	1,1	229	20	2,3
04/02/2023	15	0,4	237	19	1,3
05/02/2023	13	0,5	271	16	1,5
06/02/2023	10	1,9	331	12	5,4
07/02/2023	8	2,4	347	13	6,5
08/02/2023	11	3,7	347	17	9,1
09/02/2023	9	2,4	350	15	5,6
10/02/2023	12		274	16	
11/02/2023	14	0,7	291	17	1,9
12/02/2023	16	0,8	254	18	2,1
13/02/2023	21	0,8	249	24	1,8
14/02/2023	20	0,4	344	27	1,3
15/02/2023	16	0,6	282	19	1,6
16/02/2023	25	0,6	303	30	1,2
17/02/2023	23	0,6	238	28	1,4
18/02/2023	20	0,8	235	24	1,5
19/02/2023	29	0,5	214	33	1,2
20/02/2023	43	0,4	288	52	1
21/02/2023	34	0,3	260	39	1,1
22/02/2023	32	0,6	15	39	1,6
23/02/2023	30	0,5	329	37	1,6
24/02/2023	9	1,2	247	15	2,8
25/02/2023	10	0,9	250	15	2,4
26/02/2023	5	2	245	8	5,2
27/02/2023	4	3,5	313	9	10,3
28/02/2023	4	2	299	5	6,6
01/03/2023	8	1,1	312	13	3,5
02/03/2023	12	1,5	305	15	4,4
03/03/2023	12	1,1	220	15	2,8
04/03/2023	14	0,9	236	16	2,6
05/03/2023	19	0,6	274	21	1,8
06/03/2023	7	0,9	225	10	2,7
07/03/2023	8	1,4	221	14	4,8
08/03/2023	4	1,3	223	9	4,4
09/03/2023	6	1,6	221	13	5,1
10/03/2023	4	1,5	250	6	5
11/03/2023	5	1,7	208	9	4,7
12/03/2023	4	0,9	193	5	2,2
13/03/2023	9	1,4	67	13	3,7
14/03/2023	4	1,1	242	9	3,2
15/03/2023	7	0,9	182	13	1,8
16/03/2023	11	1	5	14	2,5
17/03/2023	10	1,1	20	13	2,2
18/03/2023	19	1	11	22	2,2
