Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 12040302-Castelló AP Gregal
	
FECHA	PM2.5	Veloc.	Direc.	Temp.	H.Rel.	PM10	Veloc.máx.
	µg/m³	m/s	grados	°C	% H.R.	µg/m³	m/s
01/01/2023	14	1,5	350	12,1	100	15	2,6
02/01/2023	17	0,9	267	12,3	98	19	1,6
03/01/2023	14	1	274	13,8	94	16	1,8
04/01/2023	10	1,5	258	11,8	92	11	2,5
05/01/2023	15	1,5	245	10,9	93	16	2,5
06/01/2023	18	1,3	312	11	97	18	2
07/01/2023	21	1,2	270	10,3	97	21	2,1
08/01/2023	7	4,1	233	17,5	76	21	7,1
09/01/2023	4	1,8	249	16,3	65	7	3,5
10/01/2023	6	1,6	340	12,5	71	9	2,7
11/01/2023	8	1,1	268	13,3	74	13	2,3
12/01/2023	7	1,9	257	12,1	68	10	3,2
13/01/2023	13	1,4	257	11,2	78	17	2,5
14/01/2023	11	1,4	251	11,2	75	13	2,4
15/01/2023	9	1,4	290	11,5	76	10	2,7
16/01/2023	5	4,6	232	13,7	51	22	8,1
17/01/2023	2	4,6	256	16	44	7	8,9
18/01/2023	2	2,5	295	11,2	31	4	5,5
19/01/2023	2	3,6	249	11,2	40	6	6,7
20/01/2023	2	2,4	343	13,8	42	6	4,5
21/01/2023	2	3	336	9,2	36	3	5,9
22/01/2023	2	2,5	285	8,9	31	3	5,1
23/01/2023	3	2	349	8,4	40	4	4,2
24/01/2023	5	2,3	351	7,6	49	8	4,2
25/01/2023	5	2,7	350	10,3	46	8	5,1
26/01/2023	7	1,6	241	9	57	8	3
27/01/2023	6	1,8	249	8,1	53	10	3,1
28/01/2023	4	2,1	295	8	53	5	3,6
29/01/2023	4	1,6	353	7,8	53	5	2,9
30/01/2023	11	1,8	259	6,9	67	14	3,1
31/01/2023	12	1,4	273	9	75	14	2,3
01/02/2023	13	1,6	240	9	82	16	2,6
02/02/2023	10	2	277	9,7	81	15	3,2
03/02/2023	13	1,8	244	9,8	75	16	3
04/02/2023	10	1,3	255	11,1	60	13	2,2
05/02/2023	9	1,4	234	10,9	68	11	2,3
06/02/2023	7	2,7	358	8	90	7	4,9
07/02/2023	5	3,1	18	10,4	69	6	5,5
08/02/2023	5	4,3	19	9,8	99	5	7,4
09/02/2023	5	3,1	20	9,6	84	6	5,3
10/02/2023	9	1,6	266	8,7	81	11	2,8
11/02/2023	10	1,9	310	8,6	79	11	3
12/02/2023	10	2	258	8,9	82	11	3,1
13/02/2023	15	1,6	247	9,6	84	16	2,7
14/02/2023	14	1,5	12	10,8	88	17	2,4
15/02/2023	12	1,4	281	11,1	92	13	2,4
16/02/2023	20	1,2	284	10	97	23	2,1
17/02/2023	17	1,2	235	10,2	87	19	2,3
18/02/2023	13	1,3	241	10,5	74	15	2,3
19/02/2023	20	1,1	247	11,4	86	22	1,8
20/02/2023	28	1	280	12,1	92	34	1,7
21/02/2023	26	1	262	11,6	90	29	2
22/02/2023	25	1,2	28	12	99	27	2,3
23/02/2023	22	1,3	357	12,4	99	25	2,3
24/02/2023	5	1,7	242	10,2	59	7	3
25/02/2023	6	1,7	253	10,4	65	7	2,9
26/02/2023	3	2,6	255	10,2	51	5	4,6
27/02/2023	3	3,4	331	6,5	32	5	7,4
28/02/2023	3	2,8	330	9,8	39	4	5,8
01/03/2023	5	2	301	7,4	51	6	3,5
02/03/2023	9	2,2	332	9,4	47	10	4,2
06/03/2023	5	1,5	237	13,7	66	10	2,8
07/03/2023	6	2,6	257	15,7	60	15	4,7
08/03/2023	4	2,9	255	20,2	49	12	5,4
09/03/2023	5	2,5	249	19,2	53	13	4,9
10/03/2023	2	2,9	266	21,1	40	4	5,5
11/03/2023	3	2,6	225	22	44	8	4,7
12/03/2023	2	1,4	178	19,8	60	3	2,7
13/03/2023	5	1,8	112	17,8	80	6	3,5
14/03/2023	3	1,6	219	17,6	41	6	3,2
15/03/2023	4	1,2	178	14,9	62	8	2,2
16/03/2023	7	1,8	44	13,5	93	8	3
17/03/2023	6	1,7	103	13,5	97	7	2,7
18/03/2023	13	1,4	29	13,9	99	14	2,5
19/03/2023	4	2	209	15,1	74	5	3,4
20/03/2023	6	1,2	193	14,6	79	9	2,4
21/03/2023	10	2,2	50	14,1	97	11	3,7
22/03/2023	14	1,4	63	14,5	94	14	2,5
23/03/2023	18	1,9	53	15,1	98	19	3,4
24/03/2023	21	1,3	8	14,8	97	24	2,3
25/03/2023	8	1,8	50	15,8	93	9	3,2
26/03/2023	19	2,1	27	17,8	72	23	3,9
27/03/2023	3	2,2	249	16,2	48	8	4,1
28/03/2023	6	1,5	212	14,4	79	8	2,7
29/03/2023	9	1,4	238	15,3	89	11	2,6
30/03/2023	8	1,8	42	15,4	97	10	3,3
31/03/2023	8	1,9	265	20,9	57	15	3,8
01/04/2023	7	3	195	17,2	63	23	5,6
02/04/2023	1	3,4	337	17,3	36	2	7,2
03/04/2023	2	2,2	234	14,9	55	2	4,4
04/04/2023	3	2	134	13,6	72	5	3,2
05/04/2023	5	2	215	14,4	83	7	3,4
06/04/2023	5	1,7	180	14,6	86	5	3
07/04/2023	7	1,3	190	14,5	81	8	2,5
08/04/2023	5	3,1	44	14,9	93	8	5,4
09/04/2023	6	1,4	170	16,1	95	7	2,6
10/04/2023	11	1,6	57	15,9	98	11	2,8
11/04/2023	11	1,2	164	16,6	95	12	2,4
12/04/2023	13	2,4	40	16,6	89	15	4,4
13/04/2023	2	2,9	126	15,8	54	3	5,1
14/04/2023	4	1,7	336	17,3	63	7	3,2
15/04/2023	3	2	27	18,9	53	5	3,8
16/04/2023	2	2,7	209	16,6	49	3	4,9
17/04/2023	4	2,3	99	15	75	6	3,9
18/04/2023	4	1,8	114	16,2	88	5	3,1
19/04/2023	6	1,8	201	15,4	83	8	2,9
20/04/2023	5	1,7	86	16,7	79	6	3,1
21/04/2023	7	2,7	58	17,3	96	8	4,6
22/04/2023	8	2,5	71	17,1	100	9	4,2
23/04/2023	11	1,6	76	17,1	97	12	2,8
24/04/2023	6	1,6	205	19,4	80	7	3
25/04/2023	5	1,9	56	19,7	73	8	3,3
26/04/2023	6	2,8	63	18,2	99	7	4,4
27/04/2023	5	1,2	78	18,6	96	7	2,1
28/04/2023	3	1,6	68	19,1	97	4	2,7
29/04/2023	6	2,6	64	19,1	98	7	4,1
30/04/2023	5	1,4	235	20,1	84	6	2,4
01/05/2023	3	1,5	224	19,7	92	4	2,6
02/05/2023	4	1,4	190	18,9	77	6	2,4
03/05/2023	5	1,8	222	18,4	86	6	3
04/05/2023	4	1,7	98	19,4	89	5	2,7
05/05/2023	6	1,9	64	19,4	95	11	3
06/05/2023	5	1,2	64	19,9	89	6	2,2
07/05/2023	3	2,8	60	19,5	96	4	4,3
08/05/2023	7	1,5	238	19,7	92	8	2,6
09/05/2023	5	2,1	99	20,8	78	7	3,5
10/05/2023	2	2,7	140	20,2	57	4	4,8
11/05/2023	2	2,1	60	19	52	3	3,5
12/05/2023	1	2,3	240	17,8	53	4	3,9
13/05/2023	1	2	311	17,1	63	2	3,6
14/05/2023	2	2,4	236	17,8	65	3	4,1
15/05/2023	3	2,8	275	18,9	51	6	5,2
16/05/2023	2	3,6	338	19,6	44	3	6,9
17/05/2023	3	2,1	205	18,1	56	4	3,5
18/05/2023	4	2,6	167	18	70	6	4,1
19/05/2023	4	1,8	153	17,9	64	5	3,1
20/05/2023	4	1,8	228	18,5	59	4	3,1
21/05/2023	4	1,9	131	19,1	75	5	3,1
22/05/2023	5	3,4	55	18,5	87	7	5,1
23/05/2023	8	4,6	66	19,5	85	15	6,6
24/05/2023	10	1,9	65	20	86	13	3,2
25/05/2023	8	2,7	64	18,7	89	11	4,4
26/05/2023	6	2,9	40	17,3	100	6	4,4
27/05/2023	7	1,1	41	19,7	83	9	1,9
28/05/2023	7	1,2	273	19	92	8	2,3
29/05/2023	6	1,4	132	20,1	94	6	2,2
30/05/2023	5	1,6	106	20,3	92	6	2,6
31/05/2023	7	1,7	121	21	87	9	2,6
01/06/2023	7	2,7	47	20,2	98	10	4
02/06/2023	5	1,6	188	20,8	91	6	2,7
03/06/2023	5	1,4	133	21,3	90	5	2,4
04/06/2023	3	1,3	83	21,2	92	4	2,2
05/06/2023	4	1,7	208	21,4	91	4	2,8
06/06/2023	3	1,5	193	22	89	3	2,5
07/06/2023	4	1	230	21,2	94	6	1,8
08/06/2023	5	1,2	176	22,2	88	6	2,1
09/06/2023	6	3,1	226	23,1	90	11	5,2
10/06/2023	4	1,3	122	23,9	92	5	2,2
11/06/2023	4	2	66	23,1	96	4	3,3
12/06/2023	3	1,6	150	22,7	90	5	2,7
13/06/2023	3	2	273	22,3	82	5	3,6
14/06/2023	3	1,8	237	23,1	79	4	3
15/06/2023	4	1,4	219	24,7	78	5	2,5
16/06/2023	5	2	121	24,6	85	6	3
17/06/2023	4	1,5	100	25,4	79	4	2,5
18/06/2023	5	1,2	43	23,8	75	6	2,2
19/06/2023	6	3,3	45	23,8	74	13	5
20/06/2023	7	1,5	107	24,9	82	10	2,7
21/06/2023	7	2,8	62	24,6	91	11	4,5
22/06/2023	3	1,3	183	25,6	78	5	2,4
23/06/2023	2	2,3	186	25,8	79	4	3,8
24/06/2023	3	1,3	186	26,3	74	4	2,3
25/06/2023	3	1,9	117	26,4	85	4	3
26/06/2023	4	2,3	96	26,7	85	7	3,7
27/06/2023	4	2,6	75	26,3	85	6	3,9
28/06/2023	4	2	69	26,3	93	6	3,1
29/06/2023	4	2	79	26,7	86	5	3,3
30/06/2023	3	2,4	58	25,8	57	8	4,1
01/07/2023	2	1,7	219	24,9	69	3	2,9
02/07/2023	3	1,7	203	26,1	79	4	2,9
03/07/2023	3	2	91	25,3	91	5	3,3
04/07/2023	3	1,9	97	26	90	4	3,2
05/07/2023	3	3	51	25,8	87	6	4,4
06/07/2023	3	2,3	81	26,6	90	4	3,6
07/07/2023	5	3,1	58	25,7	95	8	4,8
08/07/2023	4	1,4	118	26,8	84	4	2,4
09/07/2023	4	1,5	106	27,1	91	5	2,5
10/07/2023	5	2,3	88	27,1	94	8	3,8
11/07/2023	7	1,7	159	27,9	93	11	3,3
12/07/2023	6	3,5	71	27,3	98	8	5,3
13/07/2023	4	2	98	27,7	88	5	3,3
14/07/2023	3	2	202	27,4	92	4	3,3
15/07/2023	5	2,1	109	28,4	90	5	3,3
16/07/2023	4	3,6	80	27,5	89	5	5,3
17/07/2023	4	2	98	28,1	93	6	3,2
18/07/2023	7	1,4	187	28	94	8	2,5
19/07/2023	6	2,2	99	28,8	92	8	3,5
20/07/2023	6	3,2	81	28,3	97	7	4,8
21/07/2023	4	3	68	28,5	81	9	4,5
22/07/2023	3	3,9	77	27,6	86	4	5,7
23/07/2023	4	1,8	145	28,3	97	5	3
24/07/2023	6	2,5	75	28,4	98	8	4,1
25/07/2023	2	2,2	83	27,6	54	4	3,7
26/07/2023	2	1,7	170	26,5	58	4	3
27/07/2023	3	2,5	217	27,4	85	4	4
28/07/2023	2	1,8	109	28,2	91	3	3
29/07/2023	3	1,4	113	28,2	92	3	2,4
30/07/2023	2	2,1	79	28,1	92	3	3,6
31/07/2023	3	1,5	215	28,4	93	4	2,6
01/08/2023	4	1,4	104	29,4	87	5	2,6
02/08/2023	4	2,4	83	28,8	95	5	3,9
03/08/2023	4	3	79	28	71	13	5,5
04/08/2023	1	3,6	356	26,1	43	4	6,6
05/08/2023		2,2	251	24,6	54		3,7
06/08/2023		1,5	239	26,9	55		2,8
07/08/2023		2,8	127	26,1	72		4,7
08/08/2023		3	202	26,1	93		4,8
09/08/2023		1,7	233	26,6	92		3
10/08/2023		3,1	118	28,3	94		5,2
11/08/2023	3	1,3	129		88	6	2,5
12/08/2023	4	1,2	184		94	6	2,2
13/08/2023	3	1,5	197		93	4	2,7
14/08/2023	3	1,5	59		91	4	2,7
15/08/2023	3	1,9	50		91	5	3,4
16/08/2023	3	2,2	53		90	5	3,8
17/08/2023	6	1,6	56		91	12	3,2
18/08/2023	6	1,2	234	28,2	95	8	2,3
19/08/2023	6	1,2	82	28,3	91	8	2,3
20/08/2023	5	1,3	240	27,9	93	6	2,3
21/08/2023	6	1,4	231	27,7	94	8	2,3
22/08/2023	5	1,1	234	28,4	83	9	2
23/08/2023	4	1,7	245	28,3	74	8	2,7
24/08/2023	4	1,5	234	28,6	70	8	2,5
25/08/2023	7	1,8	89	28,1	88	11	3
26/08/2023	6	2,9	27	26,1	96	9	4,6
27/08/2023	1	3,6	349	24,2	57	2	7,1
28/08/2023	1	2,5	245	24,6	53	2	4,3
29/08/2023	1	1,8	240	24,9	56	1	3,2
30/08/2023	1	1,8	257	24	63	2	3,2
31/08/2023	1	1,8	208	24,4	75	2	3,1
01/09/2023	2	2,2	192	25,1	94	3	3,4
02/09/2023	2	3,1	5	22,4	96	2	5,1
03/09/2023	2	7,1	37	23,1	100	3	10,4
04/09/2023	4	6,4	49	24,7	99	6	9,2
05/09/2023	4	4,2	56	24,9	100	6	6,1
06/09/2023	4	2,6	44	24,3	98	8	4,1
07/09/2023	3	1,7	62	24,3	93	7	2,7
08/09/2023	3	1,3	80	24	96	4	2,2
09/09/2023	3	1,2	228	24,4	89	4	2,1
10/09/2023	3	1,4	16	24,4	92	4	2,4
11/09/2023	4	1,3	234	24,7	84	5	2,3
12/09/2023	5	1,7	15	23,7	92	8	3
13/09/2023	3	2,4	36	24,4	82	6	3,8
14/09/2023	2	2,3	56	25,1	80	4	3,6
15/09/2023	2	2,1	33	22,7	97	3	3,4
16/09/2023	3	1,3	51	23,5	92	4	2,3
17/09/2023	5	1,4	298	23,7	95	9	2,6
18/09/2023	2	2,3	274	24,4	65	4	3,9
