Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 12040303-Castelló AP Llevant
	
FECHA	PM2.5	Veloc.	Direc.	Temp.	H.Rel.	PM10	Veloc.máx.
	µg/m³	m/s	grados	°C	% H.R.	µg/m³	m/s
01/01/2023	22	0,5	324	9,6	96	25	1
02/01/2023	23	0,1	286	10,4	96	28	0,3
03/01/2023	21	0,3	291	11,8	91	27	0,5
04/01/2023	15	0,3	280	10,1	89	17	0,7
05/01/2023	21	0,4	265	9,5	88	27	0,9
06/01/2023	27	0,3	319	8,7	93	29	0,7
07/01/2023	26	0,5	294	8,2	94	28	1
08/01/2023	7	3,7	222	17	69	10	6,8
09/01/2023	6	1,6	270	15,1	62	12	3,1
10/01/2023	14	1,1	318	10,5	69	19	1,9
11/01/2023	13	0,8	266	11,2	72	23	1,7
12/01/2023	14	1,5	259	10,7	64	29	2,7
13/01/2023	20	1	265	8,8	78	33	1,8
14/01/2023	18	1,2	258	9,4	72	23	2
15/01/2023	12	1,1	300	9,3	74	15	2,2
16/01/2023	5	4,4	221	13,3	48	17	7,9
17/01/2023	2	5	253	15,6	41	8	9,2
18/01/2023	3	2,5	289	10,7	29	7	5,6
19/01/2023	2	3,4	248	10,8	39	6	6,4
20/01/2023	4	1,7	334	13,1	41	8	3,6
21/01/2023	5	2,4	312	7,6	41	8	5,1
22/01/2023	5	2,5	286	8,2	29	7	5,1
23/01/2023	5	1,1	333	7,5	39	10	3,2
24/01/2023	8	1,9	334	6,7	48	12	3,8
25/01/2023	10	2,2	332	9,7	44	15	4,6
26/01/2023	14	1,2	250	7,5	57	26	2,5
27/01/2023	11	1,4	258	6,2	56	22	2,4
28/01/2023	10	1,6	309	6,8	53	12	2,9
29/01/2023	11	1,1	334	6,7	54	12	2,3
30/01/2023	25	1,7	256	5,4	66	44	2,7
31/01/2023	29	1,2	298	6,6	74	35	1,9
01/02/2023	21	1,4	255	7,3	78	33	2,2
02/02/2023	17	1,6	288	8	78	29	2,6
03/02/2023	18	1,6	243	7,9	74	29	2,6
04/02/2023	18	1,2	291	8,5	62	25	1,9
05/02/2023	18	1,3	267	8,3	67	23	2,1
06/02/2023	10	1,3	334	6,3	88	13	3,2
07/02/2023	8	1,8	356	9,8	64	12	3,9
08/02/2023	7	2,3	1	9,3	92	9	5,2
09/02/2023	8	2				11	3,9
10/02/2023	13	1,1				16	1,9
11/02/2023	20	1,3	299	6,9	78	23	2,2
12/02/2023	14	1,5	273	7,3	79	15	2,3
13/02/2023	21	1,5	254	7,6	79	27	2,4
14/02/2023	18	0,8	355	9,5	81	21	1,6
15/02/2023	16	0,6	326	9,1	87	19	1
16/02/2023	23	0,6	337	8,4	91	26	1,1
17/02/2023	20	0,9	267	8	82	26	1,6
18/02/2023	17	1,2	279	8,7	71	21	2,1
19/02/2023	26	0,8	320	9,3	83	29	1,3
20/02/2023	37	0,5	341	9,5	88	43	0,9
21/02/2023	27	0,6	322	9,5	84	33	1,2
22/02/2023	28	0,8	11	10,5	91	33	1,4
23/02/2023	28	0,6	348	11,3		35	1,3
24/02/2023	9	1,4	290	8,6	59	16	2,6
25/02/2023	10	1,5	279	9	64	12	2,4
26/02/2023	6	2,5	271	8,9	50	12	4,3
27/02/2023	5	3,5	326	5,8	29	8	7,2
28/02/2023	5	2,7	323	9,1	36	11	5,7
01/03/2023	14	1,6	347	6	49	44	2,8
