Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 12040304-Castelló AP Ponent
	
FECHA	PM2.5	Veloc.	Direc.	Temp.	H.Rel.	PM10	Veloc.máx.
	µg/m³	m/s	grados	°C	% H.R.	µg/m³	m/s
01/01/2023	12	1,7	352	10,2	100	13	2,5
02/01/2023	12	1,2	284	11,3	99	14	1,8
03/01/2023	11	1,4	295	12,6	96	13	2,1
04/01/2023	8	1,9	290	10,9	96	9	2,6
05/01/2023	11	1,9	269	10,2	95	15	2,7
06/01/2023	14	1,6	330	9,3	98	16	2,2
07/01/2023	17	1,8	296	9	99	19	2,6
08/01/2023	4	5,4	244	18	83	5	8,4
09/01/2023	4	2,7	272	16,1	75	6	4,3
10/01/2023	7	2	336	11,2	81	11	2,9
11/01/2023	8	1,8	278	11,9	84	12	2,8
12/01/2023	6	2,7	272	11,4	76	9	3,9
13/01/2023	10	2,1	281	9,7	86	15	3
14/01/2023	9	2,2	274	10,1	83	11	3
15/01/2023	6	2,2	317	10,1	85	8	3,3
16/01/2023	4	5,9	245	14,2	60	12	9,5
17/01/2023		6,3	272	16,5	51		10,6
18/01/2023		3,7	307	11,3	37		6,8
19/01/2023		5	268	11,5	47		7,9
20/01/2023	3	3	347	13,9	49	5	5
21/01/2023	3	3,7	337	8,1	49	5	6,3
22/01/2023	2	3,5	307	8,7	37	4	6,2
23/01/2023	4	2,4	356	8	47	9	4,2
24/01/2023	7	2,9	355	6,9	58	19	4,6
25/01/2023	5	3,7	357	10,2	53	8	6
26/01/2023	7	2,3	266	8,2	64	10	3,6
27/01/2023	6	2,6	271	6,8	66	11	3,6
28/01/2023	6	2,7	315	7,2	62	7	3,9
29/01/2023	6	2,1	357	7,1	63	7	3,3
30/01/2023	12	2,8	268	5,9	76	18	3,8
31/01/2023	11	1,9	298	7,3	86	15	2,6
01/02/2023	9	2,4	263	8	89	13	3,2
02/02/2023	9	2,8	293	8,7	90	19	3,7
03/02/2023	9	2,9	259	8,7	85	13	3,9
04/02/2023	10	2	273	9,7	70	13	2,8
05/02/2023	9	2,1	271	9,1	77	11	2,9
06/02/2023	4	3	357	7	97	5	4,9
07/02/2023	3	3,6	20	10,4	79	4	5,6
09/02/2023	5	3,6	26	9,3	91	6	5,5
10/02/2023	11	2,1	277	7,1	91	15	2,9
11/02/2023	10	2,2	299	7,7	89	12	3
12/02/2023	8	2,4	282	8,2	90	9	3,3
13/02/2023	13	2,5	269	8,5	90	16	3,5
14/02/2023	10	1,8	352	10,4	93	12	2,5
15/02/2023	12	1,7	308	10	95	13	2,3
16/02/2023	14	1,7	318	9,3	98	16	2,4
17/02/2023	13	2,1	252	9,2	92	17	2,9
18/02/2023	10	2,3	269	9,7	84	12	3,1
19/02/2023	16	1,6	303	10,2	94	18	2,3
20/02/2023	23	1,6	300	10,3	97	26	2,1
21/02/2023	17	1,6	309	10,5	95	20	2,5
22/02/2023	18	1,8	31	11,2	99	21	2,5
23/02/2023	18	1,5	345	12,2	100	21	2,1
24/02/2023	5	2,6	269	9,4	74	6	3,6
25/02/2023	5	2,5	272	10	76	6	3,5
26/02/2023	3	3,6	272	9,9	62	7	5,4
27/02/2023	4	4,2	337	6,5	39	7	7,9
28/02/2023	3	3,6	325	9,8	46	5	6,3
01/03/2023	5	2,5	336	6,7	59	7	3,7
02/03/2023	9	2,7	327	9,2	55	14	4,6
03/03/2023	10	2,5	247	9,1	66	14	3,6
04/03/2023	10	2,6	263	8,7	78	11	3,5
05/03/2023	11	2,4	291	9,7	88	13	3,3
06/03/2023	5	2,5	260	13,8	73	11	3,9
07/03/2023	8	3,9	270	16,3	67	24	5,8
08/03/2023	4	4,3	267	21	57	13	6,7
09/03/2023	5	3,9	259	20	60	14	6,3
10/03/2023	2	4,1	282	21,7	48	6	6,5
11/03/2023	3	4	266	23	51	8	6,2
12/03/2023	4	2,3	236	19,9	68	5	3,6
13/03/2023	4	2,8	83	17,8	83	8	4,5
14/03/2023	4	2,5	279	17,6	49	11	4,1
15/03/2023	5	1,9	117	13,7	74	9	2,8
16/03/2023	6	2,1	34	12,5	95	8	3
17/03/2023	4	1,9	18	12,9	97	6	2,6
18/03/2023	8	1,9	28	13,4	99	9	2,7
19/03/2023	3	2,6	236	14,7	84	5	3,8
20/03/2023	6	2,2	225	13,8	88	8	3,2
21/03/2023	9	2,5	40	13,4	97	13	3,4
22/03/2023	14	1,9	61	13,7	96	16	2,7
