Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 12040305-Castelló AP Xaloc
	
FECHA	PM2.5	Veloc.	Direc.	Temp.	H.Rel.	PM10	Veloc.máx.
	µg/m³	m/s	grados	°C	% H.R.	µg/m³	m/s
01/01/2023	12	1,2	11	11,6	98	12	2,1
02/01/2023	14	0,3	335	12,5	97	17	0,9
03/01/2023	13	0,6	360	13,5	94	14	1,3
04/01/2023	9	0,7	315	12,7	90	11	1,7
05/01/2023	12	1,1	268	12,1	88	14	2,2
06/01/2023	16	0,7	22	11	94	17	1,2
07/01/2023	19	0,7	344	10,8	96	19	1,6
08/01/2023	5	4,4	224	17,5	75	7	7,5
09/01/2023	3	2,3	250	16,9	66	6	4,5
10/01/2023	9	1,4	357	12,8	71	19	2,7
11/01/2023	8	1	319	13,1	78	10	2
12/01/2023	6	2,4	274	13	69	9	4,2
13/01/2023	13	1,1	306	11,3	79	17	2,2
14/01/2023	9	1,3	290	11,9	74	11	2,4
15/01/2023	7	1,5	345	11,9	74	9	2,8
16/01/2023	4	4,7	233	13,9	55	8	8,1
17/01/2023	2	5,2	261	16,4	47	8	9,4
18/01/2023	1	3,8	300	11,9	33	3	7,1
19/01/2023	2	4	260	11,8	43	3	7,3
20/01/2023	3	2,5	351	14	46	11	4,5
21/01/2023	3	3,8	346	9,3	42	8	6
22/01/2023	2	3,5	309	9,3	34	3	6,1
23/01/2023	3	2,8	3	8,5	44	5	4,6
24/01/2023	6	3	2	7,9	53	11	4,8
25/01/2023	7	3,8	354	10,6	49	22	5,9
26/01/2023	6	1,6	261	9,8	59	9	3,1
27/01/2023	5	1,9	293	9,1	54	7	3,4
28/01/2023	4	2,6	354	8,7	56	5	4,2
29/01/2023	6	2,2	7	8,1	57	6	3,5
30/01/2023	9	1,8	299	8	68	11	3,1
31/01/2023	11	0,9	356	8,9	75	16	1,9
01/02/2023	11	1,1	297	9,8	80	13	2
02/02/2023	8	2	312	10,5	78	13	3,3
03/02/2023	10	1,6	255	10,3	75	13	2,8
04/02/2023	9	1,1	305	11,3	61	13	2
05/02/2023	8	1,4	336	11	69	11	2,4
06/02/2023	6	2,9	358	8,2	90	8	4,8
07/02/2023	8	3,5	11	10,6	71	22	5,6
08/02/2023	4	4,7	14	10	97	4	7,5
09/02/2023	8	3,2	19	9,7	84	29	5,1
10/02/2023	8	1,1	356	8,8	83	11	2
11/02/2023	11	1,3	3	8,9	81	14	2,3
12/02/2023	10	1,5	321	9,6	81	11	2,5
13/02/2023	14	1,6	297	10,1	82	16	2,7
14/02/2023	13	1,2	24	10,9	86	15	2
15/02/2023	11	0,9	350	11,1	91	13	1,6
16/02/2023	16	1	8	10,4	95	18	1,7
17/02/2023	15	1,1	264	10,5	86	18	2
18/02/2023	11	1,1	253	10,9	75	14	2,1
19/02/2023	18	0,9	62	11,3	87	20	1,7
20/02/2023	27	0,8	27	11,4	93	30	1,4
21/02/2023	20	0,9	350	11,5	89	23	1,8
22/02/2023	22	1,4	60	11,9	97	25	2,3
23/02/2023	21	1,4	24	12,6	98	25	2,4
24/02/2023	3	2,3	294	11,2	58	5	3,9
25/02/2023	6	1,9	274	11,2	65	7	3,4
26/02/2023	3	3,3	274	11	54	4	5,5
27/02/2023	3	4,9	342	7,1	34	5	8,2
28/02/2023	3	3,7	329	10	45	5	6,1
01/03/2023	5	2,7	20	7,9	55	7	4,2
02/03/2023	9	2,8	339	9,7	51	11	4,7
03/03/2023	9	1,9	240	10,5	59	11	3,2
04/03/2023	11	1,5	289	10,3	69	12	2,7
05/03/2023	14	1,4	339	10,8	79	15	2,5
06/03/2023	4	2	242	14,2	67	6	3,8
07/03/2023	7	3,1	257	16,4	59	20	5,3
08/03/2023	3	3,3	234	20,3	51	8	6
09/03/2023	4	3,2	238	19,2	58	8	6
10/03/2023	2	3,7	274	21	43	4	6,3
11/03/2023	3	3,8	261	22,2	47	4	6,5
12/03/2023	3	1,6	119	19,5	64	4	3
13/03/2023	5	2	83	17,8	79	7	3,9
