Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 12040306-Castelló AP Mestral
	
FECHA	PM2.5	Veloc.	Direc.	Temp.	H.Rel.	PM10
	µg/m³	m/s	grados	°C	% H.R.	µg/m³
24/03/2023	36	0,8	203	15	86	50
25/03/2023	18	1,2	54	16	83	27
26/03/2023	32	1,6	23	18	68	44
27/03/2023	12	2	226	16	45	54
28/03/2023	18	1,4	189	14	71	45
29/03/2023	22	1,3	207	15	79	45
30/03/2023	20	1,5	59	15	88	28
31/03/2023	19	1,7	242	21	54	55
01/04/2023	23	2,7	199	17	58	63
02/04/2023	4	3	274	18	34	16
03/04/2023	6	2,2	211	15	50	31
04/04/2023	9	1,8	148	14	66	21
05/04/2023	14	1,9	194	14	72	37
06/04/2023	16	1,6	186	14	76	41
07/04/2023	19	1,4	186	14	71	32
08/04/2023	17	3,8	32	15	82	27
09/04/2023	17	1,4	166	16	83	26
10/04/2023	21	1,1	52	16	84	25
11/04/2023	21	1,6	151	16	86	30
12/04/2023	25	2,4	42	17	81	33
13/04/2023	8	2,8	165	16	50	29
14/04/2023	14	1,7	281	17	61	44
15/04/2023	9	2	218	19	49	21
16/04/2023	9	2,7	219	17	45	26
17/04/2023	10	2	99	15	69	21
18/04/2023	12	2	122	16	78	19
19/04/2023	12	1,6	164	16	72	20
20/04/2023	15	1,9	95	16	72	29
21/04/2023	23	2,9	60	17	83	35
22/04/2023	23	2,5	82	17	91	30
23/04/2023	29	1,7	120	17	89	34
24/04/2023	17	2,1	167	19	71	34
25/04/2023	12	1,8	86	19	69	24
26/04/2023	16	2,6	49	19	87	22
27/04/2023	14	1,3	69	18	88	19
28/04/2023	9	1,3	46	19	87	13
29/04/2023	14	2,3	83	20	91	18
30/04/2023	16	1,6	183	20	76	20
01/05/2023	10	1,9	187	20	81	12
02/05/2023	14	1,6	158	19	71	32
03/05/2023	18	1,8	193	19	73	43
04/05/2023	11	1,8	119	19	81	22
05/05/2023	16	1,7	55	19	85	26
06/05/2023	13	1,3	52	20	79	18
07/05/2023	10	2,4	45	20	83	14
11/05/2023	8	2,2	203	19	50	37
12/05/2023	7	2,6	166	18	50	28
13/05/2023	4	2,6	234	17	59	8
14/05/2023	6	2,6	194	18	57	8
15/05/2023	12	3,3	215	20	47	31
16/05/2023	9	3,8	249	20	43	32
17/05/2023	11	2,4	175	19	50	39
18/05/2023	15	2,9	156	18	62	44
19/05/2023	15	2,1	155	18	60	41
20/05/2023	12	1,9	198	19	55	22
21/05/2023	12	2,2	104	19	71	20
22/05/2023	14	3,3	22	19	77	22
23/05/2023	17	4,3	35	20	77	26
